영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액
영화 이상한 과자 가게 전천당,나카타 히데오,일본,2025-02-19,판타지,26187.0,218147100.0
몽유도원,장정혜,한국,2025-02-19,코미디,,
나는 자연산이다,,한국,2025-02-19,드라마,,
고백,야마시타 노부히로,일본,2025-02-19,스릴러,,
극장판 하이큐!! 쓰레기장의 결전,미츠나카 스스무,일본,2024-05-15,애니메이션,712092.0,7323368219.0
사랑의 하츄핑,김수훈,한국,2024-08-07,애니메이션,1212652.0,10882238222.0
두 사람,반박지은,한국,2025-02-12,다큐멘터리,,
문워크,신현규,한국,2025-01-22,드라마,,
9월 5일: 위험한 특종,팀 펠바움,미국,2025-02-05,스릴러,,
명탐정 코난: 14번째 표적,코다마 켄지,일본,2025-02-14,애니메이션,67982.0,642161280.0
은혼 일국경성편 온 씨어터,후지타 요이치,일본,2025-02-14,애니메이션,,
골프정사,,한국,2025-02-14,드라마,,
딸에 대하여,이미랑,한국,2024-09-04,드라마,,
돌핀,배두리,한국,2024-03-13,드라마,,
아카디안,벤자민 브루어,미국,2025-02-13,SF,,
캡틴 아메리카: 브레이브 뉴 월드,줄리어스 오나,미국,2025-02-12,액션,1650583.0,16338724666.0
정돌이,김대현,한국,2025-02-12,다큐멘터리,,
유난히 맛있던 동네 유부녀들,,한국,2025-01-08,드라마,,
골 때리고 떡 때리는 그녀들: 연장전,,한국,2025-02-11,드라마,,
보고타: 마지막 기회의 땅,김성제,한국,2024-12-31,범죄,396287.0,3669720540.0
히트맨2,최원섭,한국,2025-01-22,코미디,2527206.0,23802552080.0
하이퍼 프로젝션 연극 하이큐!!,,일본,2025-01-24,공연,,
세입자,윤은경,한국,2024-12-04,SF,,
"알레고리, 잇츠 낫 미",,프랑스,2024-12-18,기타,,
카라바조의 그림자,미첼 프라치도,이탈리아,2025-01-22,드라마,,
귀신경찰,김영준,한국,2025-01-24,코미디,47444.0,421560300.0
하이퍼 프로젝션 연극 하이큐!! 승자와 패자,,일본,2025-02-07,공연,,
영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,,일본,2025-02-06,애니메이션,,
머더 컴퍼니: 살인 중대,셰인 댁스 테일러,미국,2025-02-06,전쟁,,
동화지만 청불입니다,이종석,한국,2025-01-08,코미디,157616.0,1465916720.0
백산 - 의령에서 발해까지,진재운,한국,2025-02-05,다큐멘터리,,
만담,조승식,한국,2025-02-05,공연,,
"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마","김선형, 오윤동",한국,2025-02-05,공연,,
데드데드 데몬즈 디디디디 디스트럭션: 파트2,,일본,2025-02-05,애니메이션,,
아줌마,허 슈밍,"한국,싱가포르",2023-11-29,드라마,,
언데드 다루는 법,테아 히비스텐달,노르웨이,2025-01-22,드라마,,
1944 레지스탕스,,러시아,2025-01-30,전쟁,,
자살 전 준비 운동,이민규,한국,2024-12-25,드라마,,
벌집의 정령,빅토르 에리세,스페인,2025-01-29,드라마,,
그들은 피아노 연주자를 쐈다,"페르난도 트루에바, 하비에르 마리스칼",스페인,2025-01-29,애니메이션,,
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,유야마 쿠니히코,일본,2025-01-22,애니메이션,166668.0,1475884740.0
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,,영국,2025-01-27,애니메이션,30631.0,288296900.0
고스트캣 앙주,"야마시타 노부히로, 쿠노 요코",일본,2025-01-22,애니메이션,,
반지의 제왕: 로히림의 전쟁,카미야마 켄지,미국,2025-01-25,애니메이션,,
쓴,전경화,한국,2025-01-24,드라마,,
은혼 가시아귀편 온 씨어터,후지타 요이치,일본,2025-01-24,애니메이션,,
아이유 콘서트 : 더 위닝,"이예지, 오윤동",한국,2025-01-24,공연,65934.0,1819896500.0
골 때리고 떡 때리는 그녀들: 후반,,한국,2025-01-24,드라마,,
6시간 후 너는 죽는다,이윤석,한국,2024-10-16,스릴러,33583.0,381466200.0
애니멀 킹덤,토마스 카일리,프랑스,2025-01-22,미스터리,,
서바이브,프레데릭쟈댕,"프랑스,벨기에",2025-01-23,스릴러,,
엠알 나인,아시프 아크바르,미국,2025-01-22,범죄,,
메모리,미셸 프랑코,미국,2025-01-22,드라마,,
레이디,오성수,한국,2023-07-26,드라마,,
여름이 끝날 무렵의 라트라비아타,윤석호,한국,2024-09-11,드라마,,
은빛살구,장만민,한국,2025-01-15,드라마,,
언니 유정,정해일,한국,2024-12-04,가족,,
"X를 담아, 당신에게",테아 샤록,영국,2024-12-11,코미디,,
에이전트 레컨,,미국,2025-01-17,SF,,
아침바다 갈매기는,박이웅,한국,2024-11-27,드라마,,
페르소나: 이상한 여자,정형석,한국,2025-01-15,드라마,,
파문,오기가미 나오코,일본,2025-01-15,드라마,,
투 브라더스,닥터 케이,한국,2025-01-15,다큐멘터리,,
슈퍼 엘프: 빨간모자 비밀요정,우테 폰 뮌쇼폴,독일,2025-01-15,애니메이션,,
성 베드로 대성당과 로마의 교황청 대성당들,,이탈리아,2025-01-15,다큐멘터리,,
더 엑소시즘,,미국,2025-01-15,공포(호러),,
움베르토 에코. 세계의 도서관,,이탈리아,2024-12-11,다큐멘터리,,
보티첼리. 피렌체와 메디치,,이탈리아,2024-04-24,다큐멘터리,,
소풍,김용균,한국,2024-02-07,드라마,332667.0,2977628149.0
퍼스트 카우,켈리 라이카트,미국,2021-11-04,드라마,,
더 폴: 디렉터스 컷,타셈 싱,영국,2024-12-25,드라마,139162.0,1437408700.0
수퍼 소닉3,제프 파울러,미국,2025-01-01,애니메이션,322100.0,2950620910.0
비밀,"임경호, 소준범",한국,2023-12-13,미스터리,,
청설,조선호,한국,2024-11-06,드라마,794183.0,7416370760.0
원 안에 사람들,임철빈,한국,2024-12-14,드라마,,
퍼스트레이디,,한국,2024-12-12,다큐멘터리,66147.0,644192120.0
러브라인,"정다이, 소준영, 오두경, 김성훈, 권아영",한국,2020-11-01,기타,,
날 홍콩 보내버린 기술,선우용,한국,2025-01-12,코미디,,
김재중 20주년 기념 콘서트 : 플라워 가든,손석,한국,2025-01-09,공연,,
극장판 짱구는 못말려: 우리들의 공룡일기,사사키 시노부,일본,2024-12-18,애니메이션,762895.0,7177275100.0
아메바 소녀들과 학교괴담: 개교기념일,김민하,한국,2024-11-06,코미디,,
피스 바이 피스,모건 네빌,미국,2025-01-08,애니메이션,,
페라리,마이클 만,"미국,이탈리아,영국",2025-01-08,드라마,,
쇼잉 업,켈리 라이카트,미국,2025-01-08,드라마,,
부모 바보,이종수,한국,2025-01-08,드라마,,
데드데드 데몬즈 디디디디 디스트럭션: 파트1,,일본,2025-01-08,애니메이션,,
(여자)아이들 월드투어 [아이돌] 인 시네마,오윤동,한국,2025-01-08,공연,,
아노라,션 베이커,미국,2024-11-06,드라마,34518.0,347943780.0
"결혼, 하겠나?",김진태,한국,2024-10-23,코미디,,
니코: 오로라 원정대의 모험,"캐리 주스넌, 요르겐 레르담",독일,2024-12-25,애니메이션,45558.0,407300740.0
타오르는 여인의 초상,셀린 시아마,프랑스,2020-01-16,드라마,127125.0,1064187408.0
모든 것은 아르망에서 시작되었다,,"노르웨이,네덜란드,독일,스웨덴",2024-12-25,드라마,,
시빌 워: 분열의 시대,알렉스 가랜드,미국,2024-12-31,액션,80373.0,836845230.0
"컷, 다시 갈게요",김한재,한국,2024-12-29,드라마,,
총을 든 스님,,기타,2025-01-01,드라마,,
뽀로로 극장판 바닷속 대모험,윤제완,한국,2025-01-01,애니메이션,403244.0,3470494790.0
마이 러브돌,,태국,2024-12-26,코미디,,
대지진 20.0,자레드 콘,미국,2024-12-19,드라마,,
방콕 범죄도시,,태국,2024-12-19,액션,,
스틸 미씽,,태국,2024-12-19,액션,,
인비저블 캅,,태국,2024-12-19,액션,,
시크릿 웨폰,,태국,2024-12-19,액션,,
랜드 오브 워,,미국,2024-12-19,전쟁,,
취업의 정석,,한국,2024-12-18,드라마,,
아마존 활명수,김창주,한국,2024-10-30,코미디,597112.0,5315355180.0
47샤크,,미국,2024-12-05,스릴러,,
돌아온 형수의 순수 욕정,,한국,2024-12-05,드라마,,
호리아,,프랑스,2024-12-25,드라마,,
오랜만이다,이은정,한국,2024-12-25,드라마,,
더 퍼스트 슬램덩크,이노우에 다케히코,일본,2023-01-04,애니메이션,4847680.0,50687486308.0
미생: 더할 나위 없었다,,한국,2024-12-20,드라마,,
파라다이스 이즈 버닝,,"덴마크,스웨덴",2024-12-18,드라마,,
보이지 않는,정희준,한국,2024-12-19,액션,,
"괜찮아, 앨리스",양지혜,한국,2024-11-13,다큐멘터리,,
오후 네시,송정우,한국,2024-10-23,드라마,12512.0,110708100.0
헬보이: 크룩드 맨,브라이언 테일러,"미국,영국,독일,불가리아",2024-12-18,액션,,
정동원 성탄총동원 더 무비,나상인,한국,2024-12-18,공연,,
무파사: 라이온 킹,배리 젠킨스,미국,2024-12-18,애니메이션,833832.0,8188072950.0
섬·망(望),박순리,한국,2024-12-17,드라마,,
블랙 나이트 퍼레이드,후쿠다 유이치,일본,2024-12-16,판타지,,
"안녕, 할부지","심형준, 토마스 고",한국,2024-09-04,다큐멘터리,237912.0,2209790039.0
사흘,현문섭,한국,2024-11-14,공포(호러),194728.0,1828319440.0
에픽하이 20 더 무비,조윤수,한국,2024-03-20,공연,,
모래바람,박재민,한국,2024-11-27,다큐멘터리,,
보로미니와 베르니니. 완벽을 위한 도전,,이탈리아,2024-12-04,다큐멘터리,,
물방울을 그리는 남자,"김오안, 브리짓 부이요",한국,2022-09-28,다큐멘터리,,
브리드,,미국,2024-12-12,SF,,
이처럼 사소한 것들,,미국,2024-12-11,드라마,,
엔시티 드림 미스터리 랩: 드림 이스케이프 인 시네마,"이예지, 오윤동",한국,2024-12-11,공연,,
미세스 그린 애플 // 더 화이트 라운지 인 시네마,,일본,2024-12-11,공연,,
더 크로우,루퍼트 샌더스,프랑스,2024-12-11,액션,,
김범수 25주년 콘서트 필름 : 여행,,한국,2024-12-11,공연,,
루프,구상범,한국,2024-12-04,드라마,,
리바이벌 69’,,미국,2024-12-04,다큐멘터리,,
오늘부터 1일,김경수,한국,2024-12-06,스릴러,,
"알엠: 라이트 피플, 롱 플레이스",,한국,2024-12-05,다큐멘터리,,
히든페이스,김대우,한국,2024-11-20,스릴러,1001871.0,9490121540.0
4분 44초,박종균,한국,2024-11-01,공포(호러),26263.0,105050000.0
한 채,"정범, 허장",한국,2024-11-20,드라마,,
"플레이브 팬 콘서트 ‘헬로, 아스테룸!’ 앙코르 인 시네마",,한국,2024-12-04,공연,20397.0,598436500.0
투모로우바이투게더 : 하이퍼포커스 인 시네마,김경국,한국,2024-12-04,공연,,
카인의 도시,송창수,한국,2024-12-04,드라마,,
원정빌라,김선국,한국,2024-12-04,공포(호러),10854.0,90805000.0
아들들,구스타브 몰러,"덴마크,스웨덴",2024-12-04,드라마,,
더 영 맨 앤드 더 딥 씨 (비투비 임현식),권진모,한국,2024-12-04,다큐멘터리,,
뉴 노멀,정범식,한국,2023-11-08,스릴러,96398.0,933759458.0
딜리버리,장민준,한국,2024-11-20,드라마,,
히트맨,최원섭,한국,2020-01-22,코미디,2400805.0,20570457920.0
니자리,홍상진,한국,2024-06-20,공포(호러),,
섀도우 오브 파이어,츠카모토 신야,일본,2024-12-01,드라마,,
엘스타 2 : 드리미 스테이지,,한국,2024-11-30,애니메이션,,
요루시카 '달과 고양이의 댄스' 2024 라이브,,일본,2024-11-29,공연,,
애시드 레인: 죽음의 비,쥐스트 필리포,프랑스,2024-11-27,기타,,
모스크바 미션,구예도,중국,2024-11-28,액션,,
나 혼자만 레벨업 -리어웨이크닝-,,일본,2024-11-28,애니메이션,,
모아나 2,데이브 데릭 주니어,"미국,캐나다",2024-11-27,애니메이션,3522517.0,32533317750.0
에드워드 호퍼,필 그랩스키,영국,2024-11-27,다큐멘터리,,
아가미,유승원,한국,2024-11-27,가족,,
백현: 론스달라이트 닷 인 시네마,"오윤동, 김하민",한국,2024-11-27,공연,,
극장판 미스터리라 하지 말지어다,마츠야마 히로아키,일본,2024-11-27,범죄,,
킹덤 3: 운명의 불꽃,사토 신스케,일본,2024-01-17,액션,,
킹덤2: 아득한 대지로,사토 신스케,미국,2022-11-16,액션,,
골때리고 떡 때리는 그녀들: 전반,,한국,2024-11-26,드라마,,
빅토리,박범수,한국,2024-08-14,드라마,488148.0,4357664867.0
나의 히어로 아카데미아 더 무비: 유어 넥스트,오카무라 텐사이,일본,2024-11-20,애니메이션,61240.0,596162900.0
너의 색,야마다 나오코,일본,2024-10-12,애니메이션,18983.0,173652900.0
극장판 주술회전 0,박성후,일본,2022-02-17,애니메이션,694278.0,6927516658.0
킹덤4: 대장군의 귀환,사토 신스케,일본,2024-11-20,액션,,
전장의 크리스마스,오시마 나기사,영국,2024-11-20,드라마,,
저니 투 베들레헴,,미국,2024-11-20,가족,,
씨앗의 시간,설수안,한국,2024-11-20,다큐멘터리,,
블링크 트와이스,조 크라비츠,미국,2024-11-20,드라마,,
크레센도 반 클라이번 콩쿠르 실황,헤더 윌크,미국,2024-01-31,공연,,
쓰리: 아직 끝나지 않았다,박루슬란,한국,2022-04-21,드라마,,
괴도 퀸은 서커스를 좋아해,덴 사오리,일본,2024-11-16,애니메이션,,
극장판 오버로드 성왕국편,이토 나오유키,일본,2024-11-14,애니메이션,,
트라페지움,,일본,2024-11-14,애니메이션,,
춘천대첩 72시간,"최동호, 장이레",한국,2024-11-13,다큐멘터리,,
오빠 남진 라이브 콘서트,정인성,한국,2024-11-13,공연,,
연소일기,탁역겸,홍콩,2024-11-13,드라마,,
"본인 출연, 제리",,미국,2024-11-13,다큐멘터리,,
되살아나는 목소리,"박수남, 박마의","한국,일본",2024-11-13,다큐멘터리,,
글래디에이터 Ⅱ,리들리 스콧,미국,2024-11-13,액션,897092.0,8748582540.0
최소한의 선의,김현정,한국,2024-10-30,드라마,,
세상 참 예쁜 오드리,이영국,한국,2024-10-24,가족,,
크레센도,헤더 윌크,미국,2023-12-20,다큐멘터리,19125.0,210759900.0
보통의 가족,허진호,한국,2024-10-16,드라마,637811.0,5931172910.0
엘 스타 리:플레이 스테이지,,한국,2024-11-09,애니메이션,,
빌리와 용감한 녀석들: 스노우 베어 구조대,"가브리엘 리바 팔라시오 알라트리스테, 로돌포 리바 팔라시오 알라트리스테",멕시코,2024-11-07,애니메이션,,
위대한 부재,치카우라 케이,일본,2024-11-06,드라마,,
마리우폴에서의 20일,므스티슬라우 체르노우,미국,2024-11-06,다큐멘터리,,
룩킹포,김태희,한국,2024-11-06,드라마,,
프리다. 삶이여 영원하라,,이탈리아,2024-11-06,다큐멘터리,,
레드 원,제이크 캐스단,미국,2024-11-06,액션,57059.0,564612580.0
데드라인,권봉근,한국,2024-11-06,드라마,24556.0,177748600.0
"럭키, 아파트",강유가람,한국,2024-10-30,드라마,,
하와이 연가,이진영,한국,2024-10-30,드라마,,
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,한제이,한국,2024-10-16,드라마,,
더러운 돈에 손대지 마라,김민수,한국,2024-10-17,범죄,84296.0,783816680.0
돌싱어부: 대물의 추억,,한국,2024-11-01,드라마,,
달의 차고 기움,히로키 류이치,일본,2024-11-01,드라마,,
허 바디,,체코,2024-10-31,드라마,,
어프렌티스,알리 아바시,캐나다,2024-10-23,드라마,,
호두까기 인형과 마술피리,,러시아,2024-10-30,애니메이션,,
열 개의 우물,김미례,한국,2024-10-30,다큐멘터리,,
쏜애플 불구경 2024 라이브 콘서트 필름,,한국,2024-10-30,공연,,
롱레그스,,미국,2024-10-30,공포(호러),29214.0,254721400.0
극장판 고래와 나,이큰별,한국,2024-10-30,다큐멘터리,,
내가 좀비?,성유경,한국,2024-09-25,기타,,
파일럿,김한결,한국,2024-07-31,코미디,4670062.0,42827086101.0
대도시의 사랑법,이언희,한국,2024-10-01,드라마,872909.0,8246836610.0
리틀 엠마,레오 루이스 랴오,미국,2024-10-25,애니메이션,,
돌싱어부: 낚시의 목적,,한국,2024-10-24,드라마,,
스트레스 제로,이대희,한국,2021-02-03,애니메이션,5937.0,44535200.0
핑크퐁 원더스타 특별편: 호기와 도둑자동차,,한국,2024-07-18,애니메이션,,
폭설,윤수익,한국,2024-10-23,드라마,,
